spider_id,Experiment ,ZT,CT,Monitor,Lights On,source_file,year,monitor,alive,LD_period_h,LD_pvalue_FAP,LD_power,LD_n_days,LD_significant,LD_entrained,DD_period_h,DD_pvalue_FAP,DD_power,DD_n_days,DD_significant
MW_28_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.976,7.448037166818777e-56,0.024,8.0,True,True,21.966,4.84078200263008e-162,0.0499,11.0,True
MW_30_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,24.479,1.0596159911699899e-20,0.0101,8.0,True,True,19.362,5.3728558924029594e-11,0.0048,11.0,True
MW_31_,True,17.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,25.343,1.0329158890421e-09,0.0057,8.0,True,False,23.551,1.2833630916484199e-67,0.022,11.0,True
MW_33_,True,17.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,25.391,9.36985849933958e-30,0.0137,8.0,True,False,23.279,9.89793679905685e-52,0.0172,11.0,True
MW_35_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,24.094,7.54443474159367e-41,0.0181,8.0,True,True,22.895,7.18398019303676e-149,0.0461,11.0,True
MW_37_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,24.353,6.597496807716511e-23,0.011,8.0,True,True,23.668,5.7106919414048506e-117,0.0367,11.0,True
MW_39_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.887,6.03837352833502e-78,0.0326,8.0,True,True,22.336,5.6366010990820285e-174,0.0534,11.0,True
MW_40_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.918,2.1844755954288197e-185,0.0733,8.0,True,True,23.949,0.0,0.1007,11.0,True
MW_43_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,24.189,2.6210453715926498e-33,0.0151,8.0,True,True,23.147,1.81943406666171e-153,0.0474,11.0,True
MW_44_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.752,9.03987219518334e-139,0.0559,8.0,True,True,23.132,2.07031943107937e-283,0.0846,11.0,True
MW_46_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.918,6.70701779609978e-190,0.075,8.0,True,True,23.833,0.0,0.1404,11.0,True
MW_48_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.949,4.6037652170721e-64,0.0272,8.0,True,True,23.856,1.9337965673272397e-217,0.0659,11.0,True
MW_51_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,24.688,1.8773647670114096e-69,0.0293,8.0,True,True,23.416,0.0,0.094,11.0,True
MW_53_,True,21.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,23.634,2.09609008828675e-143,0.0576,8.0,True,True,22.537,2.3016754481324799e-128,0.0401,11.0,True
MW_59_,,,,,,MW 0730-0813 Monitor2.txt,,2.0,True,25.037,3.77994618390851e-27,0.0249,4.0,True,True,23.817,1.8663820803619798e-125,0.0443,10.0,True
MW_60_,True,,9.0,2.0,8am-8pm,MW 0730-0813 Monitor2.txt,,2.0,True,24.008,3.12565069101579e-37,0.0328,4.0,True,True,24.067,1.8068308449448e-170,0.0592,10.0,True
MW_61_,True,,5.0,2.0,8am-8pm,MW 0730-0813 Monitor2.txt,,2.0,True,24.821,2.6975899615592905e-104,0.0835,4.0,True,True,28.437,9.26903084409825e-162,0.0563,10.0,True
MW_63_,True,,5.0,2.0,8am-8pm,MW 0730-0813 Monitor2.txt,,2.0,True,23.634,1.89209774601158e-27,0.0251,4.0,True,True,23.524,9.04148031806896e-121,0.0428,10.0,True
MW_68_,,,,,,MW 0730-0813 Monitor2.txt,,2.0,True,24.345,2.6036470939782e-33,0.0297,4.0,True,True,23.554,2.60185784507947e-154,0.0539,10.0,True
MW_69_,True,,9.0,2.0,8am-8pm,MW 0730-0813 Monitor2.txt,,2.0,True,23.93,1.8429759777223999e-34,0.0306,4.0,True,True,23.883,3.967072047089056e-303,0.1016,10.0,True
MW_70_,,,,,,MW 0730-0813 Monitor2.txt,,2.0,True,23.969,9.580665733209969e-34,0.0301,4.0,True,True,23.683,6.272372408029091e-225,0.0769,10.0,True
MW_72_,True,,9.0,2.0,8am-8pm,MW 0730-0813 Monitor2.txt,,2.0,True,23.49,3.0777443900645696e-22,0.021,4.0,True,True,23.957,7.42789915332359e-100,0.0358,10.0,True
MW_73_,,,,,,MW 0730-0813 Monitor2.txt,,2.0,False,,,,4.0,False,False,24.055,1.23087286630787e-38,0.015,10.0,True
MW_8_,,,,,,MW_2025-07-03_07-23_2.txt,,2.0,True,19.752,1.298290561848e-10,0.006,8.0,True,False,23.002,3.7485609729224995e-93,0.0296,11.0,True
MW_9_,True,13.0,,2.0,1am-1pm,MW_2025-07-03_07-23_2.txt,,2.0,True,25.101,1.77751110874345e-05,0.004,8.0,True,True,24.91,4.620240038061631e-74,0.0239,11.0,True
MW_MsD10_,True,21.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.405,2.96209623917417e-127,0.0755,5.38,True,True,24.012,6.88629331620964e-188,0.1087,6.0,True
MW_MsD11_,True,17.0,,2.0,1am-1pm,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.74,1.5954436986457302e-72,0.0449,5.38,True,True,22.373,2.22078434585517e-196,0.1132,6.0,True
MW_MsD12_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.996,3.4509840199404397e-53,0.0338,5.38,True,True,22.603,3.72795198652746e-87,0.0534,6.0,True
MW_MsD13_,,,,,,MW 0718-0729 2024 Monitor2.txt,,2.0,True,23.74,1.35476901469608e-55,0.0352,5.38,True,True,21.432,4.7383939065378815e-87,0.0533,6.0,True
