Period (hr),Amplitude,Significance
22.33,1479.46,1426.23
22.35,1513.79,1427.26
22.37,1508.99,1428.29
22.38,1555.22,1429.32
22.40,1541.72,1430.35
22.42,1601.25,1431.39
22.43,1636.16,1432.42
22.45,1605.88,1433.45
22.47,1537.90,1434.48
22.48,1577.64,1435.51
22.50,1639.89,1436.54
22.52,1693.90,1437.58
22.53,1621.92,1438.61
22.55,1577.43,1439.64
22.57,1533.09,1440.67
22.58,1456.23,1441.70
22.60,1418.68,1442.73
22.62,1501.98,1443.77
22.63,1570.39,1444.80
22.65,1654.73,1445.83
22.67,1743.05,1446.86
22.68,1753.03,1447.89
22.70,1717.46,1448.92
22.72,1678.30,1449.95
22.73,1713.58,1450.99
22.75,1750.46,1452.02
22.77,1800.37,1453.05
22.78,1859.73,1454.08
22.80,1935.27,1455.11
22.82,1961.02,1456.14
22.83,1976.96,1457.17
22.85,2005.14,1458.21
22.87,2001.96,1459.24
22.88,1946.20,1460.27
22.90,1945.74,1461.30
22.92,1908.33,1462.33
22.93,1884.06,1463.36
22.95,1831.10,1464.39
22.97,1857.97,1465.43
22.98,1869.31,1466.46
23.00,1806.72,1467.49
23.02,1804.08,1468.52
23.03,1803.59,1469.55
23.05,1792.83,1470.58
23.07,1771.24,1471.61
23.08,1833.67,1472.64
23.10,1984.64,1473.68
23.12,2088.69,1474.71
23.13,2047.69,1475.74
23.15,2050.19,1476.77
23.17,2012.99,1477.80
23.18,1928.37,1478.83
23.20,1907.93,1479.86
23.22,1901.81,1480.89
23.23,1885.81,1481.93
23.25,1887.33,1482.96
23.27,1806.03,1483.99
23.28,1825.38,1485.02
23.30,1817.43,1486.05
23.32,1815.93,1487.08
23.33,1759.57,1488.11
23.35,1783.17,1489.14
23.37,1800.23,1490.17
23.38,1833.82,1491.20
23.40,1927.36,1492.24
23.42,1913.49,1493.27
23.43,1886.02,1494.30
23.45,1972.61,1495.33
23.47,2154.02,1496.36
23.48,2263.94,1497.39
23.50,2266.83,1498.42
23.52,2237.53,1499.45
23.53,2201.51,1500.48
23.55,2217.47,1501.51
23.57,2177.25,1502.55
23.58,2139.62,1503.58
23.60,2101.80,1504.61
23.62,2071.18,1505.64
23.63,2106.01,1506.67
23.65,2137.29,1507.70
23.67,2064.81,1508.73
23.68,2057.24,1509.76
23.70,2045.44,1510.79
23.72,2028.60,1511.82
23.73,2153.91,1512.85
23.75,2252.55,1513.89
23.77,2208.67,1514.92
23.78,2159.08,1515.95
23.80,2115.49,1516.98
23.82,2121.48,1518.01
23.83,2162.06,1519.04
23.85,2218.27,1520.07
23.87,2238.97,1521.10
23.88,2172.08,1522.13
23.90,2120.51,1523.16
23.92,2055.84,1524.19
23.93,2028.75,1525.22
23.95,1999.90,1526.25
23.97,2087.63,1527.28
23.98,2057.61,1528.32
24.00,2001.42,1529.35
24.02,1791.83,1530.38
24.03,1775.71,1531.41
24.05,1798.48,1532.44
24.07,1757.76,1533.47
24.08,1787.03,1534.50
24.10,1853.16,1535.53
24.12,1898.74,1536.56
24.13,1951.29,1537.59
24.15,2060.96,1538.62
24.17,2166.10,1539.65
24.18,2283.04,1540.68
24.20,2341.13,1541.71
24.22,2328.99,1542.74
24.23,2246.22,1543.77
24.25,2200.04,1544.80
24.27,2094.75,1545.83
24.28,1963.44,1546.87
24.30,1874.36,1547.90
24.32,1783.06,1548.93
24.33,1811.09,1549.96
24.35,1829.08,1550.99
24.37,1893.44,1552.02
24.38,1925.12,1553.05
24.40,1907.38,1554.08
24.42,1889.54,1555.11
24.43,1929.52,1556.14
24.45,1943.93,1557.17
24.47,1947.40,1558.20
24.48,1931.47,1559.23
24.50,1869.94,1560.26
24.52,1825.82,1561.29
24.53,1763.13,1562.32
24.55,1712.28,1563.35
24.57,1726.35,1564.38
24.58,1734.94,1565.41
24.60,1814.53,1566.44
24.62,1830.81,1567.47
24.63,1861.69,1568.50
24.65,1898.13,1569.53
24.67,1881.28,1570.56
24.68,1970.89,1571.59
24.70,1962.56,1572.62
24.72,2046.89,1573.65
24.73,2032.46,1574.68
24.75,1927.10,1575.71
24.77,1867.82,1576.74
24.78,1902.81,1577.77
24.80,1943.05,1578.80
24.82,1916.97,1579.83
24.83,1909.24,1580.86
24.85,1883.27,1581.89
24.87,1863.78,1582.92
24.88,1846.74,1583.96
24.90,1900.62,1584.99
24.92,1914.02,1586.02
24.93,1920.99,1587.05
24.95,1942.22,1588.08
24.97,1937.11,1589.11
24.98,1883.86,1590.14
25.00,1866.84,1591.17
25.02,1831.63,1592.20
25.03,1853.55,1593.23
25.05,1856.20,1594.26
25.07,1862.13,1595.29
25.08,1874.44,1596.32
25.10,1833.69,1597.35
25.12,1784.07,1598.38
25.13,1743.81,1599.41
25.15,1727.19,1600.44
25.17,1730.54,1601.47
25.18,1763.85,1602.50
25.20,1756.48,1603.52
25.22,1791.14,1604.55
25.23,1815.17,1605.58
25.25,1875.33,1606.61
25.27,1946.51,1607.64
25.28,1982.50,1608.67
